nohup: ignoring input
==============================================================
🦅 KIMIA GLOBAL — از رکورد تو به قدرت جهانی
==============================================================
👑 Owner: COMMANDER
🏛️  Official: KIMIA
🔐 Master Hash: 912a0c32a9158794
🔐 Signature: 8764a02e7f7710ee5277be777e659eaa
💼 Wallet: TKr9W9EBV7bPuyMuJiLbM4uJqUK5ei6B28

✅ API HTML: /data/data/com.termux/files/home/KIMIA_GLOBAL/api/index.html
✅ WIPO: /data/data/com.termux/files/home/KIMIA_GLOBAL/wipo/submission.txt
✅ Agent Report: /data/data/com.termux/files/home/KIMIA_GLOBAL/agent/report.txt
✅ Identity: /data/data/com.termux/files/home/KIMIA_GLOBAL/identity/identity.json

==============================================================
🎯 شروع شکار خودمختار...
==============================================================

[510] منابع:10/7 | BTC:$76773.9100 | USDT:228875.000 | ARB:-0.001% | فرصت:0
[513] منابع:9/7 | BTC:$76773.9000 | USDT:228875.000 | ARB:-0.001% | فرصت:0
[516] منابع:6/7 | BTC:$76773.9000 | USDT:— | ARB:0% | فرصت:0
[519] منابع:9/7 | BTC:$76768.0600 | USDT:228875.000 | ARB:0.0065% | فرصت:0
[522] منابع:9/7 | BTC:$76768.0500 | USDT:228875.000 | ARB:0.0065% | فرصت:0
[525] منابع:10/7 | BTC:$76768.0500 | USDT:228875.000 | ARB:0.0065% | فرصت:0
[528] منابع:10/7 | BTC:$76768.0600 | USDT:228706.000 | ARB:-0.115% | فرصت:0
[531] منابع:8/7 | BTC:$76775.5200 | USDT:228706.000 | ARB:-0.125% | فرصت:0
[534] منابع:9/7 | BTC:$76778.0000 | USDT:228706.000 | ARB:-0.128% | فرصت:0
[537] منابع:9/7 | BTC:$76817.5100 | USDT:228706.000 | ARB:-0.180% | فرصت:0
[540] منابع:9/7 | BTC:$76808.0100 | USDT:228706.000 | ARB:-0.167% | فرصت:0
[543] منابع:9/7 | BTC:$76794.0900 | USDT:228706.000 | ARB:-0.149% | فرصت:0
[546] منابع:10/7 | BTC:$76794.0800 | USDT:228706.000 | ARB:-0.149% | فرصت:0
[549] منابع:9/7 | BTC:$76794.0900 | USDT:228706.000 | ARB:-0.149% | فرصت:0
[552] منابع:7/7 | BTC:$76813.2600 | USDT:— | ARB:0% | فرصت:0
[555] منابع:7/7 | BTC:$76813.2600 | USDT:— | ARB:0% | فرصت:0
[558] منابع:9/7 | BTC:$76813.2600 | USDT:228706.000 | ARB:-0.174% | فرصت:0
[561] منابع:10/7 | BTC:$76813.2600 | USDT:228706.000 | ARB:-0.174% | فرصت:0
[564] منابع:10/7 | BTC:$76813.2500 | USDT:228706.000 | ARB:-0.174% | فرصت:0
[567] منابع:9/7 | BTC:$76813.2600 | USDT:228706.000 | ARB:-0.174% | فرصت:0
[570] منابع:9/7 | BTC:$76813.2500 | USDT:228706.000 | ARB:-0.174% | فرصت:0
[573] منابع:9/7 | BTC:$76800.0000 | USDT:228706.000 | ARB:-0.157% | فرصت:0
[576] منابع:9/7 | BTC:$76800.0000 | USDT:228706.000 | ARB:-0.157% | فرصت:0
[579] منابع:8/7 | BTC:$76796.5500 | USDT:— | ARB:0% | فرصت:0
[582] منابع:10/7 | BTC:$76796.5500 | USDT:228706.000 | ARB:-0.152% | فرصت:0
[585] منابع:9/7 | BTC:$76796.5500 | USDT:228706.000 | ARB:-0.152% | فرصت:0
[588] منابع:8/7 | BTC:$76792.0000 | USDT:228706.000 | ARB:-0.146% | فرصت:0
[591] منابع:7/7 | BTC:$76792.0100 | USDT:228706.000 | ARB:-0.146% | فرصت:0
[594] منابع:9/7 | BTC:$76792.0100 | USDT:228706.000 | ARB:-0.146% | فرصت:0
[597] منابع:9/7 | BTC:$76792.0000 | USDT:228706.000 | ARB:-0.146% | فرصت:0
[600] منابع:9/7 | BTC:$76790.0000 | USDT:228706.000 | ARB:-0.144% | فرصت:0
[603] منابع:9/7 | BTC:$76777.2000 | USDT:228706.000 | ARB:-0.127% | فرصت:0
[606] منابع:8/7 | BTC:$76777.2000 | USDT:228608.000 | ARB:0.1114% | فرصت:0
[609] منابع:8/7 | BTC:$76777.2000 | USDT:228608.000 | ARB:0.1114% | فرصت:0
[612] منابع:7/7 | BTC:$76777.1900 | USDT:— | ARB:0% | فرصت:0
[615] منابع:7/7 | BTC:$76777.2000 | USDT:— | ARB:0% | فرصت:0
[618] منابع:6/7 | BTC:$76777.2000 | USDT:— | ARB:0% | فرصت:0
[621] منابع:6/7 | BTC:$76780.1700 | USDT:— | ARB:0% | فرصت:0
[624] منابع:6/7 | BTC:$76780.1800 | USDT:— | ARB:0% | فرصت:0
[627] منابع:9/7 | BTC:$76780.1800 | USDT:228608.000 | ARB:0.1075% | فرصت:0
[630] منابع:8/7 | BTC:$76780.1800 | USDT:— | ARB:0% | فرصت:0
[633] منابع:9/7 | BTC:$76780.1700 | USDT:228608.000 | ARB:0.1075% | فرصت:0
[636] منابع:9/7 | BTC:$76806.7100 | USDT:228608.000 | ARB:0.0730% | فرصت:0
[639] منابع:9/7 | BTC:$76802.0000 | USDT:228608.000 | ARB:0.0791% | فرصت:0
[642] منابع:7/7 | BTC:$76802.0000 | USDT:— | ARB:0% | فرصت:0
[645] منابع:10/7 | BTC:$76802.0000 | USDT:228608.000 | ARB:0.0791% | فرصت:0
[648] منابع:9/7 | BTC:$76802.0100 | USDT:228608.000 | ARB:0.0791% | فرصت:0
[651] منابع:9/7 | BTC:$76802.0000 | USDT:228608.000 | ARB:0.0791% | فرصت:0
[654] منابع:9/7 | BTC:$76791.7800 | USDT:228608.000 | ARB:0.0924% | فرصت:0
[657] منابع:9/7 | BTC:$76791.7800 | USDT:228608.000 | ARB:0.0924% | فرصت:0
[660] منابع:9/7 | BTC:$76791.7800 | USDT:228608.000 | ARB:0.0924% | فرصت:0
[663] منابع:10/7 | BTC:$76788.0000 | USDT:228608.000 | ARB:0.0973% | فرصت:0
[666] منابع:10/7 | BTC:$76782.0000 | USDT:228608.000 | ARB:0.1052% | فرصت:0
[669] منابع:6/7 | BTC:$76780.1700 | USDT:— | ARB:0% | فرصت:0
[672] منابع:8/7 | BTC:$76780.1700 | USDT:228608.000 | ARB:0.1075% | فرصت:0
[675] منابع:8/7 | BTC:$76759.5300 | USDT:228608.000 | ARB:0.1345% | فرصت:0
[678] منابع:9/7 | BTC:$76759.5300 | USDT:228608.000 | ARB:0.1345% | فرصت:0
[681] منابع:10/7 | BTC:$76783.7500 | USDT:228608.000 | ARB:0.1029% | فرصت:0
